word,mean_likeness,std_likeness
edad,2,0.7071
derecho,2.2,0.4472
labio,2.4,0.5477
dios,2,0.7071
pertenecer,2.4,0.5477
continuar,2.6,0.5477
matar,1,0
participar,2.8,0.4472
posible,2.8,0.4472
pueblo,2.6,0.5477
medio,2,0
despertar,2.8,0.4472
espacio,2.4,0.5477
distrito,2,0
minuto,1.8,0.4472
cantar,2.8,0.4472
igual,2.2,0.4472
departamento,2.2,0.4472
sacar,2.2,0.4472
nada,2,0
cambio,2.6,0.5477
gracia,2.8,0.4472
blanco,2.6,0.5477
personaje,2.8,0.4472
semana,2,0.7071
ocupar,1.8,0.4472
bajo,2,0
antiguo,2.6,0.5477
localidad,2,0
lleno,2.2,0.4472
ser,2.8,0.4472
ocurrir,2.4,0.5477
principio,2.4,0.5477
negro,2,0
oscuro,2,0
ejército,1.6,0.8944
densidad,2,0
frente,2,0
hermoso,3,0
feliz,3,0
poblacional,2,0
situación,2,0
detener,2,0
ayudar,2.6,0.5477
leer,2.8,0.4472
anterior,2.2,0.4472
largo,1.8,0.4472
acompañar,2.8,0.4472
abandonar,1.2,0.4472
distinto,2.2,0.4472
social,2.4,0.5477
título,1.8,0.4472
origen,2.2,0.4472
desarrollar,2.2,0.4472
actual,2,0
bello,2.8,0.4472
mayoría,1.8,0.4472
dedicar,2.4,0.5477
área,2.2,0.4472
chico,1.8,0.4472
importar,2.4,0.5477
clase,2.4,0.5477
político,1.8,0.4472
internacional,2.2,0.4472
especial,2.6,0.5477
sentimiento,2.4,0.5477
alto,2.2,0.4472
nivel,2.2,0.4472
árbol,2.6,0.5477
disco,2.4,0.5477
pensamiento,2.6,0.5477
cama,2.6,0.5477
extraño,2.2,0.4472
reconocer,2.4,0.5477
sufrir,1.4,0.8944
superficie,2.2,0.4472
actividad,2.6,0.5477
programa,2,0
edificio,2,0
responder,2.4286,0.5345
comer,2.4,0.5477
representar,2.4,0.5477
iniciar,2.6,0.5477
establecer,2.1667,0.4082
estación,2.3333,0.5164
hecho,2.1667,0.4082
mundial,2.3333,0.5164
suelo,2.5,0.5477
oficina,2.2,0.4472
ventana,2.8,0.4472
empresa,2,0
éxito,2.8,0.4472
poseer,2.6,0.5477
ley,2,0
compañía,3,0
suceder,2.4,0.5477
instante,2.4,0.5477
cubrir,2.4,0.5477
sociedad,2.6,0.5477
reír,3,0
traer,2,0
versión,2,0
lengua,2.2,0.4472
uso,2,0.7071
cantón,2.2,0.4472
entregar,2.4,0.5477
comprender,2.6667,0.5164
vivo,2.5,0.5477
territorio,2.1667,0.4082
luna,2.8333,0.4082
vuelta,2.1667,0.4082
ofrecer,2.75,0.7071
destino,2.4,0.5477
hoja,2.4,0.5477
sombra,2.4,0.5477
diverso,2.4,0.5477
base,2,0
público,2.4,0.8944
mover,2.2,0.8367
libre,2.8,0.4472
batalla,1.4,0.5477
fondo,2,0.7071
acariciar,2.8,0.4472
millón,2,0
fuego,2.8,0.4472
flor,3,0
don,2.8,0.4472
resultar,2,0
planta,3,0
acuerdo,2.4,0.5477
nombrar,2,0
joven,2.2,0.4472
crecer,2.8,0.4472
premio,2.8,0.4472
componer,2.6,0.5477
viaje,2.6,0.5477
modo,2,0
sonido,2.6,0.5477
compañero,2.6,0.5477
suponer,2,0
desarrollo,2.6,0.5477
menor,2,0
construcción,2.4,0.5477
soler,2.2,0.4472
animal,2.8,0.4472
popular,2,0
soñar,3,0
fundar,2,0
volar,2.6,0.5477
rojo,2.6,0.5477
cargo,2.2,0.4472
contener,2.2,0.4472
fútbol,1.8,0.4472
joven,2.2,0.4472
valor,2.4,0.5477
medio,2,0
proceso,2,0
gritar,1.6,0.8944
estilo,2.4,0.5477
presencia,2.2,0.4472
común,2,0
ocasión,2.4,0.5477
letra,2,0
lluvia,2.6,0.5477
división,2,0
allá,2,0
estudiar,2.2,0.4472
término,2,0
reino,2.4,0.5477
triste,1,0
lágrima,1.8333,0.4082
producción,2.5,0.5477
dirección,2.1667,0.4082
romper,2,0.6325
república,2.3333,0.5164
respuesta,2.1667,0.4082
acción,2.6,0.5477
necesario,2,0.7071
natural,2.2,0.4472
subir,2.4,0.5477
autor,2.2,0.4472
disponer,2.4,0.5477
soledad,1.4,0.5477
malo,1,0
oficial,2,0
televisión,2.2,0.4472
cabo,1.8,0.4472
todavía,2.4,0.5477
geografía,2.2,0.4472
desaparecer,2,0
separar,1.8,0.4472
económico,2.2,0.4472
significar,2,0
favor,2.6,0.5477
jamás,1.8,0.4472
director,2,0
corresponder,2.2,0.4472
habitación,2,0
género,2,0
comunidad,2.6,0.5477
cierto,2.4,0.5477
puerto,2.4,0.5477
sonreír,3,0
deseo,2.4,0.5477
aceptar,2.6,0.5477
posición,2.2,0.4472
década,2.2,0.4472
verde,2.4,0.5477
dedo,2.2,0.4472
alejar,2,0.7071
esposo,1.8,0.4472
pared,1.6,0.5477
besar,2.6,0.5477
basar,2.2,0.4472
barrio,2.4,0.5477
efecto,2.4,0.5477
escapar,1.8,0.8367
cruzar,2.2,0.4472
oír,2.6,0.5477
parque,2.8,0.4472
fiesta,2.4,0.5477
imaginar,2.6,0.5477
negro,2.4,0.5477
perro,2.2,0.8367
permanecer,2.6,0.5477
evitar,1.8,0.4472
bajar,2,0
casar,2.5,0.5477
elegir,2.8,0.4472
recorrer,2.2,0.4472
cumplir,2.8,0.4472
fuente,2.2,0.4472
segundo,2,0
memoria,2.2,0.4472
esconder,1.6,0.5477
cultura,2.8,0.4472
resultado,2.2,0.4472
nuevamente,2,0
pecho,2.1667,0.4082
profesor,2.2,0.4472
formular,2,0
capital,2.4,0.5477
existencia,2.6,0.5477
episodio,2.2,0.4472
verdadero,3,0
figura,2,0
denominar,2,0
jefe,1.6,0.5477
pena,1.2,0.4472
comprar,2.8,0.4472
carta,2,0
notar,2,0
mandar,2,0
atrás,1.8,0.4472
marcar,2,0
grito,1.4,0.5477
demasiado,1.6,0.5477
provocar,1.8,0.4472
elección,2.2,0.4472
acto,2,0
modelo,2.2,0.4472
jugador,2.8,0.4472
libertad,3,0
celebrar,3,0
espalda,2.2,0.4472
sitio,2.2,0.4472
escritor,3,0
siquiera,2,0
explicar,2.6,0.5477
cantidad,2,0
unión,2.8,0.4472
lagrimar,1.6,0.8944
apenas,2,0
aprender,3,0
arma,1,0
hallar,2.8,0.4472
distancia,1.8,0.4472
simple,2.8,0.4472
teatro,3,0
par,2.6,0.5477
andar,2.8,0.4472
futuro,2.4,0.5477
eterno,2.8,0.4472
condición,2,0
militar,1,0
cuento,3,0
ángel,2.4,0.8944
golpe,1.2,0.4472
objeto,2.2,0.4472
organización,2,0.7071
abuelo,2.8,0.4472
radio,2.6,0.5477
difícil,2,0.7071
viajar,3,0
capaz,3,0
montaña,2.6,0.5477
esperanza,2.8,0.4472
rodear,2.4,0.5477
preparar,2.4,0.5477
pierna,2.4,0.5477
canal,2.4,0.5477
numeroso,2,0
vestir,2,0
elemento,2.2,0.4472
control,1.8,0.4472
calor,2.4,0.8944
oeste,2,0
función,2,0
atención,2.4,0.5477
compartir,2.8,0.4472
blanco,2.2,0.4472
necesidad,2,0
musical,3,0
piso,2,0
seguro,2.8,0.4472
ingreso,2.2,0.4472
vender,2,0
simplemente,2.4,0.5477
político,1.2,0.4472
completo,2.4,0.5477
interés,2.4,0.5477
causar,2,0
verano,3,0
ala,2.6,0.5477
mitad,2,0
ciencia,2.6,0.5477
hogar,3,0
faltar,1.6,0.5477
rápido,2,0.7071
partido,2.2,0.4472
enorme,2.2,0.4472
nube,2.6,0.5477
falta,1.8,0.4472
guardar,2,0
mesa,2,0
extender,2,0
oro,2.4,0.5477
juntar,2.4,0.5477
similar,2,0
enviar,2,0
histórico,1.8,0.4472
interpretar,2.6,0.5477
piedra,2,0
frío,1.6,0.8944
museo,2.8,0.4472
original,2.8,0.4472
civil,2,0
luchar,2.1667,0.7528
campo,3,0
medida,2,0
plan,2.3333,0.5164
apoyar,2.4,0.5477
información,2.2,0.4472
producto,2,0
unidad,2.4,0.5477
cercano,2.4,0.5477
energía,2.8,0.4472
alegría,3,0
ayuda,2.6,0.5477
llenar,2.4,0.5477
colocar,2,0
avanzar,2.6,0.5477
encuentro,3,0
especialmente,2.2,0.4472
escena,2.2,0.4472
capacidad,2.4,0.5477
profundo,2.6,0.5477
investigación,2.2,0.8367
largo,2,0
jardín,3,0
gana,2.4,0.5477
ropa,2.4,0.5477
cine,2.8,0.4472
oscuridad,1.6,0.5477
realmente,2,0
retirar,2,0
red,2,0
parar,2,0
tema,2,0
describir,2.2,0.4472
enfrentar,1.6,0.5477
parir,2.2,0.8367
suerte,3,0
edición,2,0
ataque,1,0
abrazar,3,0
consejo,2.8,0.4472
café,3,0
muchacho,2,0
cuarto,2,0
revista,2.2,0.4472
tristeza,1.2,0.4472
carne,1.8,0.8367
comuna,2.2,0.4472
enamorar,3,0
espejo,2.6,0.5477
conjunto,2.4,0.5477
característica,2.2,0.4472
corto,1.8,0.8367
claro,3,0
pacífico,3,0
indicar,2,0
felicidad,3,0
sensación,2.2,0.4472
oportunidad,3,0
temer,1.2,0.4472
campeonato,2.6,0.5477
motivo,2.2,0.4472
rato,2.2,0.4472
derrotar,1.6,0.5477
peso,1.8,0.4472
sencillo,2.6,0.5477
duro,1.8,0.4472
olor,2,0
duda,1.6,0.5477
puesto,2,0
actuar,2.8,0.4472
principalmente,2,0
referir,2,0
detrás,2,0
destruir,1.2,0.4472
prueba,1.8,0.4472
tenia,1,0
perfecto,2.8,0.4472
pelo,2,0
pasión,2.6,0.8944
fecha,2.4,0.5477
cansar,1.3333,0.5164
beber,3,0
lucha,1.6,0.8944
poeta,2.8,0.4472
novela,3,0
dato,2.6,0.5477
limitar,1.6,0.5477
pez,2.6,0.5477
repetir,1.8,0.4472
creación,2.8,0.4472
texto,2.6,0.5477
naturaleza,3,0
torre,2.4,0.5477
constituir,2.4,0.5477
dulce,3,0
obligar,1,0
mil,2,0
pagar,1.4,0.5477
estructura,2,0
copa,2.6,0.5477
risa,3,0
organizar,2.2,0.8367
municipal,2,0
frío,1.4,0.5477
negar,1.2,0.4472
diferencia,2,0
intento,2.4,0.5477
vía,2,0
policía,1.8,0.4472
demostrar,2.4,0.5477
formación,2.8,0.4472
cultural,2.8,0.4472
plata,2.8,0.4472
período,2,0
surgir,2.6,0.5477
pieza,2.4,0.5477
suave,2.8,0.4472
guerra,1,0
vecino,2.2,0.4472
vista,3,0
aspecto,2.6,0.5477
meter,2.4,0.5477
amo,2.2,0.8367
cortar,2,0
distribución,2.2,0.4472
pregunta,2.2,0.4472
paz,3,0
fruto,2.8,0.4472
belleza,3,0
poema,2.8,0.4472
suficiente,2.4,0.8944
famoso,2,0
artículo,2,0
loco,2,0.7071
villa,1.8,0.8367
perteneciente,2.2,0.4472
conservar,2,0
dia,2.6,0.5477
importancia,2.4,0.5477
seguridad,2.8,0.4472
educación,2.8,0.4472
pasado,2.4,0.5477
sector,2,0
determinar,2.2,0.4472
declarar,2.2,0.4472
posibilidad,2.4,0.5477
dinero,2.8,0.4472
experiencia,2.8,0.4472
disfrutar,3,0
carácter,2.4,0.5477
velocidad,2.2,0.4472
operación,1.8,0.4472
decisión,2.4,0.8944
preocupar,2,1
debutar,2.8,0.4472
contestar,2.6,0.5477
mencionar,2.4,0.5477
sonar,2.4,0.5477
quitar,1.4286,0.5345
altura,2.2,0.4472
huir,1.2,0.4472
bosque,3,0
solo,2,1
imperio,2.4,0.5477
ordenar,2,0.7071
residir,2,0.7071
selección,2,0.7071
fácil,2,0.7071
ministro,1.8,0.4472
dueño,2.2,0.8367
tropa,2,0.7071
propiedad,2.6,0.5477
ruta,2.4,0.5477
defensa,2.6,0.5477
actor,2.4,0.5477
reunir,2.6,0.5477
despedir,2.2,0.8367
trasladar,2.6,0.5477
bailar,2.2,0.8367
enfermedad,1.2,0.4472
entrada,2.4,0.5477
firme,2.8,0.4472
anunciar,2.6,0.5477
busca,2.2,0.4472
causa,2.4,0.5477
atacar,1.4,0.5477
muerto,1.4,0.5477
pareja,2.8,0.4472
comercial,2.2,0.4472
visitar,3,0
tirar,1.8,0.4472
relacionar,2.6,0.5477
cabello,2.6,0.5477
artista,2.4,0.5477
espíritu,2.6,0.5477
invitar,2.8,0.4472
local,2.2,0.4472
firmar,2.2,0.4472
teoría,2.6,0.5477
invierno,2.4,0.5477
objetivo,2.2,0.4472
puente,2.6,0.5477
lentamente,2,0
imposible,1.6,0.8944
sostener,2,0.7071
mercado,2.2,0.4472
transformar,2.8,0.4472
cadena,1.2,0.4472
personal,2.6,0.5477
serio,2.2,0.4472
conocimiento,3,0
planeta,3,0
solamente,1.8,0.4472
comunicación,2.8,0.4472
etapa,2.2,0.8367
integrar,2.4,0.8944
marca,2,0.7071
categoría,2,0
longitud,2,0
peor,1.4,0.5477
campaña,2.2,0.4472
moderno,2.4,0.5477
colegio,3,0
vuelo,3,0
grabar,2.2,0.4472
echar,1.2,0.4472
asomar,2.4,0.5477
instituto,2.4,0.5477
girar,2.6,0.5477
novio,2.8,0.4472
apoyo,3,0
tío,3,0
