word,mean_likeness,std_likeness
conformar,2.2,0.4472
muro,1.8,0.4472
tender,2,0
coche,2.4,0.5477
aéreo,2.4,0.5477
eléctrico,2,0
castilla,2,0.7071
plaza,2.5,0.8367
húmedo,1.8333,0.4082
cuadro,2.2,0.4472
rosa,2.4,0.5477
cariño,2.8,0.4472
aplicar,2.2,0.8367
mejorar,2.8,0.4472
breve,2.2,0.4472
atrapar,1.6,0.5477
escudo,1.8,0.4472
campeón,2.6,0.5477
otorgar,2.6,0.5477
lenguaje,2.4,0.5477
monte,2.2,0.4472
extremo,2,0
ejercer,1.8,0.4472
flotar,2.6,0.5477
diario,2,0
probar,2.8,0.4472
fase,2,0
industria,1.8,0.4472
afectar,1.6,0.5477
deslizar,2.2,0.4472
marido,2.2,0.4472
contrato,2,0
arqueológico,2,0.7071
liberar,2.8,0.4472
caballero,2.6,0.5477
alimentar,2.8,0.4472
variar,2.4,0.5477
orilla,2.3333,0.8165
inferior,1.6,0.5477
hotel,2.8333,0.4082
salón,2.3333,0.8165
sala,2.2,0.4472
máquina,2,0.7071
biblioteca,2.8,0.4472
materia,2,0.7071
infierno,1.2,0.4472
fijar,2.4,0.5477
repente,2,0
extensión,2.4,0.5477
regreso,2.6,0.5477
solitario,1.8,0.4472
representación,2.4,0.5477
comisión,1.8,0.4472
publicación,2.6,0.5477
aliento,2,1
asumir,2.2,0.4472
exterior,2,0
techo,2.4,0.5477
tecnología,2.2,0.4472
directamente,2.4,0.5477
conversación,3,0
físico,2.4,0.5477
voluntad,2.6667,0.5164
absoluto,2.1667,0.4082
actriz,2.3333,0.5164
horizonte,3,0
sur,2.8333,0.4082
polvo,2,0.6325
tormenta,2,0.6325
susurrar,2.6667,0.5164
caracterizar,2,0
periódico,2.2,0.4472
típico,2.2,0.4472
juventud,2.6,0.5477
botánico,2.6,0.5477
princesa,2,0.7071
política,1.8,0.8367
brillante,2.4,0.5477
rama,2.2,0.4472
presión,1.6,0.5477
transporte,1.8,0.4472
prestar,2.4,0.5477
llegada,2.6,0.5477
añadir,2,0
labor,2.2,0.8367
respecto,2,0
religión,1.6,0.5477
precio,1.8,0.4472
distinguir,2,0.7071
rechazar,1.4,0.8944
brisa,3,0
verso,1.6,0.8944
aroma,2.8,0.4472
oponer,2,0
montar,2.8,0.4472
columna,2.2,0.4472
mierda,1.6,0.5477
falso,1.4,0.5477
solución,2.4,0.5477
escaso,1.6,0.5477
arrancar,2,0
amante,2.6,0.5477
susurro,2.8,0.4472
código,2.4,0.5477
búsqueda,2.2,0.8367
constitución,2.4,0.5477
patio,2.4,0.5477
voto,2.4,0.5477
regional,2.2,0.4472
pérdida,1.2,0.4472
imponer,1.4,0.5477
mágico,2.6,0.5477
documento,2,0
fantasma,1.8,0.4472
gira,2.2,0.4472
capilla,1.8,0.8367
leyenda,2.6,0.5477
interior,2.4,0.5477
mejilla,2.6,0.5477
pedazo,2,0
sección,2,0
pájaro,3,0
demonio,1.4,0.5477
obispo,1.8,0.4472
suspiro,3,0
humo,1.8,0.4472
papa,2.2,0.4472
roca,2.2,0.4472
víctima,1.4,0.5477
colgar,2,0
individuo,2,0
titular,2,0
ajeno,2,0
crecimiento,3,0
variedad,2.8,0.4472
príncipe,2.6,0.5477
alumno,2.6,0.5477
frecuencia,2,0
terrible,1.6,0.5477
merecer,2.4,0.5477
caída,1.6,0.5477
dólar,2,0.7071
deporte,2.8,0.4472
provenir,2,0
llave,2.1667,0.4082
compositor,2.8333,0.4082
latir,2.8333,0.4082
aplicación,2.1667,0.4082
presente,2.3333,0.5164
exposición,2.3333,0.5164
interno,2.1667,0.4082
sexual,2.8571,0.378
máximo,2.3333,0.5164
actitud,2.5,0.5477
carcajada,3,0
catedral,2.8,0.4472
encerrar,1.4,0.5477
arrastrar,1.2,0.4472
católico,2,0
devolver,2.4,0.5477
relato,2.6,0.5477
composición,2.4,0.5477
nacimiento,2.8,0.4472
asentamiento,1.6,0.5477
símbolo,2.6,0.5477
contenido,2.4,0.5477
vestido,2.8,0.4472
crisis,2,1
magia,3,0
video,2.2,0.4472
científico,2.8,0.4472
papá,3,0
barco,2.8,0.4472
comandante,2,0.7071
banda,2.6,0.5477
continuo,1.8,0.4472
comercio,2,0
seriar,1.8,0.8367
resolver,2.4,0.8944
cola,2.4,0.8944
duque,2,0.7071
inspirar,3,0
diputado,1.4,0.5477
familiar,2.6,0.5477
dominio,2.2,0.4472
derecho,2.2,0.4472
filosofía,2.6,0.5477
reinar,2,0.7071
caber,2.2,0.4472
eliminar,2,0.7071
and,2,0
regalar,3,0
esencia,3,0
toma,2.2,0.4472
derivar,2.4,0.5477
pegar,1.6,0.8944
vaso,2.2,0.4472
normal,1.8,0.4472
ligero,2.8,0.4472
régimen,1.4,0.5477
gobernador,1.6,0.5477
amanecer,3,0
cantante,2.8,0.4472
activo,2.4,0.5477
divino,2.6,0.8944
sobrevivir,2,0.7071
reconocimiento,2.8,0.4472
infinito,2.8,0.4472
monumento,2.4,0.5477
madera,2.6,0.5477
arquitectura,2.4,0.5477
graduar,2,0.7071
asistir,2.4,0.5477
ola,2.6,0.5477
candidato,2,0
círculo,2.4,0.5477
pobreza,1.2,0.4472
volumen,2.2,0.4472
prometer,2,0
cerebro,2.2,0.4472
interior,2.2,0.4472
espada,2.4,0.5477
opinión,2.4,0.5477
nota,2.6,0.5477
odio,1,0
sierra,2,0.7071
botella,2,0
partida,2,0
prohibir,1.2,0.4472
citar,2,0
acá,2.2,0.4472
proporcionar,2.4,0.5477
núcleo,2.4,0.5477
práctico,2,0
izquierda,2.4,0.8944
identificar,2,0.7071
general,2.2,0.4472
disparar,1.6,0.5477
nariz,2,0.7071
constitucional,2.6,0.5477
transmitir,2.2,0.8367
infancia,3,0
océano,3,0
editar,2.2,0.4472
encima,2.4,0.8944
instalación,2,0
periodista,2,0.7071
perseguir,1.6,0.5477
enterar,2.2,0.4472
peligro,1,0
vivienda,2.8,0.4472
macho,2,1
grabación,2.2,0.4472
garganta,2.2,0.4472
zapato,2.4,0.5477
aventura,2.8,0.4472
grave,1.6,0.8944
reacción,2.2,0.4472
aferrar,2.4,0.5477
dibujo,2.8,0.4472
americano,2.2,0.8367
inmediatamente,1.8,0.8367
amistad,3,0
desierto,2.3333,0.5164
revelar,2.3333,0.5164
marco,2.1667,0.4082
hundir,1.3333,0.5164
ferrocarril,2.6667,0.5164
secundario,2.1667,0.4082
tumba,1.5,0.5477
temblar,1.5,0.5477
salar,2,0.6325
exponer,2.4,0.5477
sabio,3,0
atrever,2.4,0.5477
acostumbrar,1.8,0.4472
estrenar,2.4,0.8944
pintor,2.6,0.5477
habia,2.4,0.5477
capítulo,2.2,0.4472
circunstancia,1.8,0.4472
bolsillo,2.2,0.4472
operar,2,0.7071
reflejo,2.4,0.5477
sucio,1.2,0.4472
militar,1.4,0.5477
asiento,2,0.7071
músico,2.8,0.4472
comunicar,2.6,0.5477
ligar,2,0.6325
atraer,2.8,0.4472
molestar,1,0
registrar,2,0
herido,1.2,0.4472
ancho,2,0
ministerio,1.8,0.4472
comentario,2.4,0.5477
habitual,1.8,0.4472
consumir,1.8,0.8367
propósito,2.8,0.4472
básico,2,0
bar,2.4,0.8944
inventar,3,0
torno,1.8,0.4472
ayuntamiento,1.8333,0.4082
mínimo,2,0
agregar,2,0
tratamiento,1.6667,0.5164
facultad,2.3333,0.5164
cristo,2.3333,0.5164
nervioso,1,0
inaugurar,2.5,0.5477
condenar,1.3333,0.5164
profundidad,2.3333,0.5164
profesional,2.3333,0.5164
bonito,3,0
buque,2,0
confirmar,2,0
latino,2.4,0.5477
personalidad,2.2,0.4472
huella,2,0
protección,2.4,0.5477
moneda,2,0
apreciar,2.8,0.4472
juicio,1.8,0.4472
bolsa,2,0
expedición,2.8,0.4472
estremecer,1.8,0.8367
trabajador,2.2,0.4472
tropical,3,0
coger,2.4,0.8944
ciento,2,0
pantalla,2,0
entorno,2.2,0.4472
interpretación,2.2,0.4472
verme,2.2,0.4472
patrón,1.8,0.4472
misterio,2,1
clasificar,2.2,0.4472
riesgo,1.2,0.4472
angustia,1.2,0.4472
infantil,2.4,0.8944
saludar,2.6,0.5477
tienda,2.2,0.4472
célula,2,0
gemir,2,1
accidente,1.2,0.4472
parroquia,2.4,0.5477
desempeñar,2.6,0.5477
testigo,2,0
tomo,2,0
coronel,2.2,0.4472
capital,1.8,0.4472
tierno,3,0
adoptar,2.8,0.4472
pasillo,2,0
dominar,2.2,0.8367
habilidad,2.8,0.4472
protagonista,2.8,0.4472
espectáculo,2.4,0.8944
pista,2.4,0.5477
melodía,3,0
percibir,3,0
promesa,2.8,0.4472
ternura,3,0
soltar,2.2,0.4472
superior,2,0.7071
factor,2,0
conquistar,2,0.7071
conceder,2.2,0.4472
discográfico,2,0
charlar,2.6,0.8944
hielo,1.6,0.5477
maravilloso,2.8,0.4472
estatal,1.8,0.4472
regla,2.2,0.4472
lanzamiento,2.2,0.4472
corazon,2.6,0.5477
explicación,1.8,0.4472
maestro,2.4,0.5477
técnica,2.4,0.5477
cliente,2.2,0.4472
químico,2,0
amenazar,1.2,0.4472
argumento,2,0
fantasía,3,0
presidir,2.2,0.4472
costa,2.8,0.4472
complejo,2,0.7071
fino,2.2,0.4472
oculto,2,0
bastar,1.8,0.4472
forzar,1.4,0.5477
diócesis,1.8,0.4472
show,2.4,0.5477
futbolista,2.4,0.5477
opción,2.4,0.5477
fresco,2.8,0.4472
cálido,3,0
autónomo,2.2,0.4472
sello,2,0
diferenciar,2,0
trayectoria,2.2,0.4472
enterrar,1.4,0.5477
anciano,2.6,0.5477
ejecutar,1.6,0.5477
reforma,2.2,0.4472
fama,2.4,0.5477
monasterio,2.2,0.4472
maldito,1,0
encantar,2.8,0.4472
carretero,2,0
confianza,3,0
brillo,2.8,0.4472
representante,2.2,0.4472
ascender,2.8,0.4472
concluir,1.8,0.8367
cigarrillo,2,1
latino,2.4,0.8944
presentación,2.4,0.5477
transportar,2,0
centrar,2.4,0.5477
capturar,2.2,0.8367
medalla,3,0
análisis,2.8,0.4472
acceder,3,0
carro,2.2,0.4472
dimensión,2.4,0.5477
arquitecto,2.2,0.4472
cruel,1,0
leche,2.2,0.4472
colaborar,2.8,0.4472
salida,2.4,0.5477
internet,2.4,0.5477
cueva,2,0.7071
sustituir,1.8,0.4472
pronunciar,2,0
provincial,2.2,0.4472
copar,2.2,0.4472
olímpico,3,0
trato,2,0
ceder,2,0
registro,2,0
sacerdote,2.2,0.4472
gonzález,2,0
jamar,2,0
héroe,2.8,0.4472
originalmente,2.2,0.4472
carretera,2.4,0.5477
elaborar,2.6,0.5477
fabricar,2.8,0.4472
reemplazar,2.2,0.4472
acudir,2.4,0.5477
dama,2.8,0.4472
copia,1.8,0.4472
eco,2.2,0.8367
cerveza,2.4,0.5477
asamblea,2.2,0.4472
alegre,3,0
poderoso,2.4,0.5477
normalmente,2.2,0.4472
espera,2,0.7071
banco,2.4,0.5477
vacío,1.6,0.5477
lindo,2.8,0.4472
alianza,2.6,0.5477
violencia,1,0
cementerio,1.2,0.4472
equivocar,1.6,0.5477
cañón,1.6,0.5477
entidad,2,0.7071
pequeño,2.8,0.4472
apretar,1.8,0.8367
fenómeno,3,0
bañar,2.6,0.5477
descanso,3,0
pantalón,2.2,0.8367
concentrar,3,0
interesante,3,0
logro,3,0
rural,2.6,0.5477
disponible,2.6,0.5477
muestra,2,0.7071
descender,2.4,0.5477
desesperar,1.4,0.5477
clavar,2,0.7071
arrojar,2.2,0.8367
acontecimiento,2.6,0.5477
conectar,2.6,0.5477
informar,2.6,0.5477
cultivo,2.5,0.8367
conocido,2,0
fila,1.8,0.4472
agradecer,2.8,0.4472
secar,2,0
apuntar,2,0.7071
agente,1.8,0.8367
practicar,2.4,0.5477
proyectar,2.8,0.4472
hierro,1.6,0.5477
criatura,2.6,0.5477
cadáver,1.4,0.5477
competencia,1.6,0.5477
mancha,1.4,0.5477
alba,2.6,0.5477
someter,1,0
transcurrir,2.2,0.4472
atender,2.4,0.5477
asesinato,1,0
fábrica,2,0
otoño,2.6,0.5477
rodar,2.2,0.4472
organismo,2,0
ingeniero,2.2,0.4472
electrónico,2.2,0.4472
imaginación,3,0
juez,1.8,0.8367
cristiano,2.6,0.5477
localización,2,0
vientre,2.6,0.5477
vicepresidente,2.2,0.4472
umbral,1.8,0.4472
encabezar,2.4,0.5477
mapa,2,0
anual,1.8,0.4472
rodilla,2.2,0.4472
dificultad,1.6,0.5477
reciente,2,0
curiosidad,2.6,0.5477
únicamente,2,0
órgano,2,0
plato,2.4,0.5477
prensa,2.2,0.4472
interrumpir,1.4,0.5477
ciudadano,2.6,0.5477
calma,3,0
ópera,3,0
formato,2,0
sugerir,2.4,0.5477
figurar,2,0.7071
borde,2,0
experimentar,2.6667,0.5164
débil,1.4,0.5477
enseñanza,2.8,0.4472
ignorar,1.6,0.5477
portar,2,0.7071
tabla,2.2,0.4472
perdón,2.8,0.4472
sumar,2.4,0.5477
excepción,2.2,0.4472
aprobar,3,0
continuación,2.2,0.4472
sudor,1.2,0.4472
fiel,2.8,0.4472
contrario,2.2,0.4472
tribu,2.4,0.5477
traje,2.2,0.4472
dulzura,3,0
nocturno,2.6,0.5477
múltiple,2.2,0.4472
confiar,3,0
cometer,1.8,0.4472
sufrimiento,1.2,0.4472
asociar,2.2,0.4472
combatir,1.6,0.5477
capa,2.2,0.4472
paseo,3,0
agricultura,2.4,0.5477
lectura,2.8,0.4472
rendir,2,0.7071
coordenado,2,0
cuidado,2.6,0.5477
nieve,2.6,0.5477
clasificación,2,0
preciso,2.2,0.4472
celular,2,0
nieto,2.8,0.4472
vena,1.8,0.4472
piano,2.8,0.4472
pasear,3,0
ámbito,2,0
debut,2.6,0.5477
avenir,2.6,0.5477
identidad,2,0
colaboración,3,0
medicina,2.4,0.5477
exigir,1.6,0.8944
venta,1.8,0.4472
denominación,2,0
temprano,2.4,0.5477
recostar,2.4,0.8944
infraestructura,2.4,0.5477
peligroso,1.6,0.8944
fundamental,2.6,0.5477
lobo,2,0.7071
médico,2.6,0.5477
península,2.2,0.4472
perdonar,2.6,0.8944
fijamente,2.2,0.4472
mio,2.4,0.5477
promedio,2.2,0.4472
evolución,2.8,0.4472
estatua,2.2,0.4472
coalición,1.4,0.5477
tribunal,1.4,0.5477
llover,2.4,0.5477
potencia,2.6,0.5477
seguramente,2.6,0.5477
comportamiento,2.2,0.4472
invasión,1.8,0.8367
valle,2.8,0.4472
noreste,2,0
cuadrar,1.8,0.4472
asesino,1.2,0.4472
brotar,2.2,0.8367
infinito,2.4,0.5477
camisa,2.2,0.4472
semilla,2.6,0.5477
respeto,3,0
fotografía,2.6,0.5477
pesar,1.4,0.5477
distribuir,2,0
indio,2,0
alcohol,2.2,0.4472
taller,2.2,0.4472
proceder,2,0.7071
presa,1.4,0.5477
onda,3,0
pelear,1.4,0.5477
prácticamente,2.4,0.5477
correcto,2.8,0.4472
retablo,2,0
existente,2.2,0.4472
aguardar,1.4,0.5477
mojar,2.2,0.4472
fijo,2,0
recorrido,2.2,0.4472
arco,2.4,0.5477
mental,2.6,0.5477
televisivo,1.8,0.4472
tesoro,3,0
ciclo,2,0
murmurar,1.4,0.5477
oler,2.4,0.5477
responsabilidad,2.2,0.4472
historiador,1.8,0.4472
abogado,2,0.7071
corriente,1.8,0.4472
respiración,2.6,0.5477
you,2.4,0.5477
concurso,2.4,0.5477
amarillo,2.4,0.8944
científico,2.8,0.4472
eternidad,2.4,0.5477
mariposa,2.6,0.8944
anillo,2.2,0.8367
baile,3,0
limpio,3,0
humano,2.8,0.4472
calmar,3,0
individual,2,0
orgullo,2.2,0.8367
altitud,2,0
apariencia,2.4,0.5477
definitivamente,2,0
reserva,2.2,0.4472
extenso,2,0.7071
huevo,2.2,0.8367
adecuar,2.8,0.4472
escultura,2.8333,0.4082
cesar,2,0.8944
trono,1.8,0.8367
comité,1.8,0.8367
acusar,1.4,0.5477
gestión,1.8,0.8367
selva,3,0
bahía,3,0
estrellar,1.8,0.8367
solicitar,2.4,0.5477
nba,2,0
terror,1.4,0.8944
brindar,3,0
grabado,2.6,0.5477
tratado,2.2,0.4472
triunfo,2.8,0.4472
fundador,2,0
sangrar,1.2,0.4472
entrenador,2.2,0.4472
sagrado,2.2,0.8367
crimen,1,0
national,2.2,0.4472
promover,2.6,0.5477
conquista,2.6,0.8944
oreja,2.2,0.4472
prisión,1.2,0.4472
sendero,3,0
virgen,2.4,0.5477
resistir,2.2,0.8367
tambien,2.8,0.4472
crítica,2.4,0.5477
arroyo,3,0
justo,2.6,0.5477
traducir,2.4,0.5477
vaciar,1.8,0.4472
agarrar,2.2,0.4472
adentro,2.4,0.5477
porqué,2,0
permanente,2,0.7071
reclamar,1.2,0.4472
oficialmente,2,0
abismo,1.4,0.5477
oposición,1.6,0.5477
ahogar,1,0
competición,2.4,0.5477
futuro,2.8,0.4472
militar,1.8,0.4472
característico,2,0
democrático,2.6,0.5477
freír,1.8,0.4472
puta,1.6,0.8944
electoral,1.8,0.4472
delgado,2.4,0.5477
aldea,2.4,0.5477
albergar,2.6,0.5477
lector,3,0
poblar,2.2,0.4472
extranjero,2.2,0.4472
virtud,2.8,0.4472
virgen,1.8,0.4472
adulto,2.2,0.4472
pesadilla,1.2,0.4472
multitud,1.2,0.4472
dorar,2.4,0.5477
jurar,1.8,0.4472
previo,2,0
inteligencia,2.8,0.4472
herramienta,2.4,0.5477
contrario,2,0.7071
apertura,2.2,0.4472
aliado,2.8,0.4472
lavar,2.8,0.4472
presidencia,2,0.7071
programar,2.8,0.4472
cantante,2.4,0.5477
pago,2.2,0.8367
primario,2.4,0.5477
gozar,3,0
suceso,2,0
acostar,2.4,0.5477
grande,2.2,0.4472
reunión,2.6,0.5477
nostalgia,2,0.7071
advertir,2,0.7071
solista,2.6,0.5477
conversar,2.6,0.5477
impulsar,2.4,0.5477
silencioso,2,0.7071
recientemente,2.2,0.4472
mezcla,2.2,0.4472
herida,1,0
primo,2.2,0.4472
murmullo,1.6,0.5477
agitar,2.2,0.4472
batería,2,0.7071
rutina,1.2,0.4472
milagro,2.8,0.4472
tramo,2,0
cabecera,2,0
familiar,2.8,0.4472
bien,3,0
contribuir,3,0
arquitectónico,2.6,0.5477
declaración,2,0
dias,2,0
llama,2.4,0.8944
ascenso,2.6,0.5477
ama,1.8,0.8367
excelente,3,0
fluir,2.4,0.5477
audiencia,2.4,0.5477
riqueza,2.8,0.4472
modificar,2.4,0.5477
vela,2.4,0.5477
engañar,1,0
exitoso,3,0
loco,2,0.7071
indígena,2.2,0.4472
miel,2.6,0.5477
mentir,1.2,0.4472
tendencia,2.2,0.4472
piedad,2.2,0.4472
solar,2.6,0.5477
turismo,3,0
moral,3,0
borrar,2,0
decreto,2,0
definitivo,2,0
aqui,2.4,0.5477
cura,2.2,1.0954
especializar,2.2,0.4472
fumar,1.4,0.8944
droga,1.2,0.4472
monje,2.2,0.4472
azul,2.8,0.4472
notable,2.4,0.5477
oriente,2.2,0.4472
vidrio,2.2,0.4472
renta,1.8,0.4472
amigo,3,0
pato,2.6,0.5477
precioso,3,0
pluma,3,0
atar,1.8,0.8367
satisfacer,3,0
caliente,2.4,0.5477
agrupar,2,0
nominar,2.2,0.4472
posesión,2,0
respetar,3,0
precisamente,2.2,0.4472
implicar,2,0
editorial,2.2,0.4472
misterioso,2,0.7071
impacto,1.8,0.8367
margen,2,0
descubrimiento,3,0
constar,2,0
sabio,3,0
isleño,2.2,0.4472
cárcel,1.4,0.5477
tradicionalmente,2.4,0.5477
manifestar,2,0.7071
invisible,2,0.7071
propuesta,2.6,0.5477
universitario,2.8,0.4472
paular,2,0.7071
divertir,2.8,0.4472
rueda,2.4,0.5477
ventaja,2.2,0.8367
ubicación,2,0
patrimonio,1.8,0.8367
vano,1.6,0.8944
signo,2.2,0.4472
bestia,1.8,0.8367
convento,1.4,0.5477
pico,2.4,0.5477
tour,2.6,0.8944
comprobar,2.6,0.5477
estallar,1.4,0.5477
ejercicio,2.4,0.8944
físico,2.4,0.5477
lloro,1,0
lucir,2.8,0.4472
insistir,1.2,0.4472
disposición,2.6,0.5477
pobre,1.2,0.4472
escala,2.4,0.5477
eje,2.6,0.5477
madrugada,2.6,0.5477
invitado,2.4,0.5477
danzar,2.8,0.4472
ciego,1.6,0.5477
jornada,2,0
enemigo,1.2,0.4472
exacto,2.8333,0.4082
adaptar,2.4,0.5477
impulso,2.4,0.5477
aparato,2.2,0.4472
comarca,2.6,0.5477
pelea,1.1667,0.4082
legislatura,1.8333,0.4082
explotar,1.5,0.5477
respectivamente,2.1667,0.4082
específico,2.3333,0.5164
manejar,2.5,0.5477
productor,2.4,0.5477
automóvil,2.8,0.4472
toro,2.4,0.5477
prisa,1.6,0.8944
posiblemente,2.2,0.8367
aumento,2.2,0.8367
isleño,2.6,0.5477
delante,2.2,0.4472
victoria,3,0
alzar,2.6667,0.5164
material,2,0.6325
canto,3,0
delicado,2.6667,0.5164
tardar,1.3333,0.5164
originario,2.2,0.4472
coincidir,2.8,0.4472
ensayo,2.6,0.5477
penetrar,2.2,0.8367
candidatura,2.2,0.4472
talvez,2,0
desesperación,1,0
avenida,2,0.7071
semifinal,2.6,0.5477
planear,3,0
seguro,2.8,0.4472
comparar,1.8,0.4472
agradable,3,0
quebrar,2,0.7071
fórmula,2.4,0.5477
colectivo,2.4,0.5477
silueta,2.6,0.5477
renunciar,2,0.7071
supremo,2.8,0.4472
rosa,2.6,0.5477
prever,2.6,0.5477
intervención,2,0.7071
despierto,2.2,0.4472
usuario,2,0
anciano,2.4,0.5477
contratar,2.4,0.5477
monstruo,1.4286,0.5345
restaurante,2.8333,0.4082
tarde,2.5,0.5477
humor,2.8333,0.4082
plantar,2.6,0.5477
saber,3,0
bomba,1.6,0.5477
inundar,1.8,0.4472
cuchillo,1.8,0.4472
homenaje,3,0
consolidar,2.4,0.5477
competir,2.6,0.5477
league,2.2,0.4472
coste,2.2,0.4472
concentración,2.6,0.5477
elegido,2.6,0.5477
definición,2.4,0.5477
exactamente,2.4,0.5477
combinar,2.2,0.4472
ceremonia,2.4,0.5477
cruz,1.6,0.8944
criticar,1.2,0.4472
inocente,2.6,0.5477
palpitar,2.4,0.8944
ganador,2.8,0.4472
celebración,3,0
hilo,2,0
pisar,1.8,0.8367
basura,1.2,0.4472
mueca,2.2,0.4472
extranjero,2.4,0.5477
endémico,1.2,0.4472
bronce,2.2,0.4472
pálido,2,0.7071
legislativo,1.6,0.5477
católico,1.2,0.4472
posar,2.4,0.5477
preocupación,1,0
amargo,1,0
hembra,2.4,0.8944
escoger,2.6,0.5477
procedente,1.8,0.4472
técnico,2.1667,0.4082
consuelo,2.3333,1.0328
confesar,1.8333,0.7528
pop,2.6,0.5477
socialista,2.1667,0.9832
español,2.3333,0.5164
contexto,2,0.7071
humedad,1.6,0.8944
moda,2.2,0.4472
ganadería,2.2,0.8367
creencia,2.4,0.5477
correspondiente,2,0
enfermo,1,0
turístico,2.8,0.4472
plataforma,1.8,0.4472
clave,2,0
ánimo,2.4,0.5477
discurso,2.2,0.4472
internacional,2.4,0.5477
hondo,2.2,0.4472
claramente,2.4,0.5477
obligación,1.6,0.5477
sal,2.2,0.8367
beneficio,2.8,0.4472
montañoso,2.6,0.8944
miar,2.2,0.4472
sesión,2,0
evidente,2,0
retrato,2,0.7071
permiso,2,0.7071
destrucción,1.4,0.5477
galería,2,0.7071
cotidiano,2.4,0.5477
limpiar,2.4,0.8944
autobús,1.6,0.5477
ruina,1.6,0.8944
atribuir,1.8,0.4472
despues,2.2,0.4472
biografiar,2.4,0.5477
sureste,2,0.7071
danza,2.6,0.8944
mecanismo,2.4,0.8944
cercanía,2.8,0.4472
ficción,2.6,0.5477
escupir,1.4,0.5477
trozo,1.8,0.8367
niño,2.8,0.4472
gastar,1.6,0.5477
instrucción,2.4,0.5477
nacionalista,1.8,0.8367
espiritual,2.4,0.5477
frecuente,2.6,0.5477
muralla,2.4,0.5477
honor,2.6,0.5477
empapar,1.8,0.8367
firma,2.4,0.5477
judicial,1.2,0.4472
derrota,1.2,0.4472
ira,1.2,0.4472
apoderar,1.8,0.4472
regular,1.6,0.5477
establecimiento,2,0
morder,2,0
rango,2,0
tranquilidad,3,0
derramar,1.8,0.4472
compromiso,2.8,0.4472
positivo,3,0
brigada,1.8,0.4472
bit,2.4,0.5477
cigarro,1,0
aburrir,1,0
empujar,1.6,0.8944
oración,2.6,0.5477
admitir,2.8,0.4472
rol,2.4,0.5477
insecto,1.2,0.4472
atlántico,2.8,0.4472
abundante,2.8,0.4472
orquesta,3,0
aproximar,2.2,0.4472
certeza,2.6,0.5477
mediterráneo,2.8,0.4472
diablo,1.4,0.5477
extremo,1.6,0.5477
talento,3,0
proveniente,2.2,0.4472
empleado,1.4,0.5477
naval,2,0
curioso,2.8,0.4472
tensión,1,0
representativo,2,0
noble,3,0
cerro,2.6,0.5477
conexión,2.8,0.4472
sumergir,2,0.7071
increíble,2.6,0.5477
tibio,2.4,0.5477
artista,2.8,0.4472
expansión,2,0
músico,3,0
cuerda,2,0
paralelo,2,0
arreglar,2.8,0.4472
anotar,2,0
nuclear,1.6,0.8944
tembloroso,1.2,0.4472
paraíso,3,0
comunista,2,0
cintura,2.2,0.4472
liderar,2.4,0.5477
muñeca,3,0
terrestre,2.4,0.5477
equilibrio,2.6,0.5477
salvaje,2.4,0.5477
estrategia,2.6,0.5477
castillo,2.8,0.4472
externo,2,0
videojuego,2.6,0.5477
impresión,2,0
lista,2,0
aguantar,1.2,0.4472
guía,2.8,0.4472
listar,2,0
cultivar,3,0
pozo,1.6,0.5477
prender,2,0.7071
acomodar,2.6,0.5477
apartar,2,0
circuito,2.2,0.4472
absurdo,1.4,0.5477
discutir,1.2,0.4472
altar,2.2,0.8367
feo,1.2,0.4472
fuertemente,2.2,0.4472
latín,2.2,0.4472
inspiración,3,0
castellano,2.2,0.4472
desvanecer,1.6,0.5477
discusión,1.4,0.5477
yacer,1.8,0.4472
gobernador,1.8,0.8367
expulsar,1.4,0.5477
mortal,1.4,0.5477
promoción,2.8,0.4472
estimar,2.4,0.5477
rasgo,2.2,0.4472
cita,2.4,0.5477
horrible,1,0
fracaso,1,0
amenaza,1.2,0.4472
admirar,2.8,0.4472
varón,2.2,0.4472
principal,2.4,0.5477
líneo,2.2,0.8367
serpiente,1.8,1.0954
marqués,2.4,0.5477
transferir,2.2,0.4472
emprender,3,0
venganza,1,0
plazo,1.6,0.5477
reaccionar,1.6,0.5477
conclusión,2.2,0.4472
avance,3,0
complejo,2.2,0.4472
rival,1,0
atardecer,3,0
barro,1.8,0.8367
ansia,2,0.7071
apurar,1.4,0.5477
étnico,2.6,0.5477
librar,2.8,0.4472
dinastía,1.8,0.4472
botánico,2.8,0.4472
cobrar,1.6,0.5477
oficio,2.6,0.5477
sincero,3,0
querido,3,0
responsable,2.6,0.8944
cazar,1.2,0.4472
perfume,3,0
mixto,2.4,0.5477
pelota,1.8,0.4472
maldito,1,0
anhelo,3,0
furia,1.2,0.4472
parado,1.6,0.5477
efectuar,2.2,0.4472
santo,2.6,0.5477
repartir,2.4,0.5477
arder,1.6,0.8944
inútil,1.2,0.4472
inicial,2,0
complicar,1,0
vergüenza,1.6,0.8944
metálico,1.8,0.4472
agudo,1.8,0.8367
fácilmente,3,0
suroeste,2.2,0.4472
vacio,1,0
violento,1,0
perfectamente,2.6,0.8944
intervenir,2.8,0.4472
cansancio,1.4,0.5477
pecado,1.2,0.4472
túnel,1.6,0.8944
teniente,1.6,0.5477
ocupación,2.8,0.4472
mario,2.6,0.5477
personal,2.4,0.8944
profundar,2,0.7071
mina,2.2,1.0954
respectivo,2.2,0.4472
lamento,1,0
productor,2.8,0.4472
timar,1.2,0.4472
